joint_name|position_rad|force_N|torque_Nm|timestamp|phase
shoulder_pan_joint|-0.048811960965394974|0.0|0.0|29.74999999999959|INITIAL
shoulder_lift_joint|-0.5245119333267212|0.0|0.0|29.74999999999959|INITIAL
elbow_joint|0.6298511028289795|0.0|0.0|29.74999999999959|INITIAL
wrist_1_joint|-1.5708014965057373|0.0|0.0|29.74999999999959|INITIAL
wrist_2_joint|-1.570828914642334|0.0|0.0|29.74999999999959|INITIAL
wrist_3_joint|7.891118002589792e-06|0.0|0.0|29.74999999999959|INITIAL
shoulder_pan_joint|-0.06880197674036026|0.0|0.0|39.76666666666569|INITIAL
shoulder_lift_joint|-0.7042147517204285|91.57269287109375|45.87722396850586|39.76666666666569|INITIAL
elbow_joint|0.6610762476921082|77.66724395751953|45.88541030883789|39.76666666666569|INITIAL
wrist_1_joint|-1.570796251296997|55.0849494934082|19.568145751953125|39.76666666666569|INITIAL
wrist_2_joint|-1.5707868337631226|37.41343688964844|1.999828815460205|39.76666666666569|INITIAL
wrist_3_joint|-4.2821193346753716e-07|21.639616012573242|0.08392305672168732|39.76666666666569|INITIAL
shoulder_pan_joint|-0.06880197674036026|0.0|0.0|44.76666666666541|ACT_2
shoulder_lift_joint|-0.7042147517204285|0.0|0.0|44.76666666666541|ACT_2
elbow_joint|0.6610762476921082|0.0|0.0|44.76666666666541|ACT_2
wrist_1_joint|-1.570796251296997|0.0|0.0|44.76666666666541|ACT_2
wrist_2_joint|-1.5707868337631226|0.0|0.0|44.76666666666541|ACT_2
wrist_3_joint|-4.2821193346753716e-07|0.0|0.0|44.76666666666541|ACT_2
shoulder_pan_joint|-0.07455184310674667|0.0|0.0|54.783333333331505|ACT_2
shoulder_lift_joint|-0.5298182368278503|326.8183898925781|153.1930389404297|54.783333333331505|ACT_2
elbow_joint|0.6722658276557922|291.0178527832031|153.25244140625|54.783333333331505|ACT_2
wrist_1_joint|-1.5707956552505493|163.14894104003906|57.92927932739258|54.783333333331505|ACT_2
wrist_2_joint|-1.6126790046691895|99.06285858154297|5.476828575134277|54.783333333331505|ACT_2
wrist_3_joint|-2.3309985408559442e-07|55.52888870239258|0.014135639183223248|54.783333333331505|ACT_2
shoulder_pan_joint|-0.07475993782281876|0.0|0.0|57.41666666666469|INITIAL
shoulder_lift_joint|-0.5298711061477661|0.0|0.0|57.41666666666469|INITIAL
elbow_joint|0.6722581386566162|0.0|0.0|57.41666666666469|INITIAL
wrist_1_joint|-1.5707963705062866|0.0|0.0|57.41666666666469|INITIAL
wrist_2_joint|-1.6126810312271118|0.0|0.0|57.41666666666469|INITIAL
wrist_3_joint|-1.4296529116109014e-07|0.0|0.0|57.41666666666469|INITIAL
shoulder_pan_joint|-0.06897424161434174|0.0|0.0|67.4333333333308|INITIAL
shoulder_lift_joint|-0.7020049691200256|149.37681579589844|108.72959899902344|67.4333333333308|INITIAL
elbow_joint|0.6615238785743713|158.92129516601562|108.6715316772461|67.4333333333308|INITIAL
wrist_1_joint|-1.570794939994812|121.7608413696289|44.89829635620117|67.4333333333308|INITIAL
wrist_2_joint|-1.5707875490188599|80.23267364501953|4.395059585571289|67.4333333333308|INITIAL
wrist_3_joint|-3.8449798012152314e-07|45.911415100097656|0.21699635684490204|67.4333333333308|INITIAL
shoulder_pan_joint|-0.06895150244235992|0.0|0.0|72.0499999999972|ACT_3
shoulder_lift_joint|-0.703796923160553|0.0|0.0|72.0499999999972|ACT_3
elbow_joint|0.6613901853561401|0.0|0.0|72.0499999999972|ACT_3
wrist_1_joint|-1.5707961320877075|0.0|0.0|72.0499999999972|ACT_3
wrist_2_joint|-1.5707881450653076|0.0|0.0|72.0499999999972|ACT_3
wrist_3_joint|-3.695822670124471e-07|0.0|0.0|72.0499999999972|ACT_3
shoulder_pan_joint|-0.07470424473285675|0.0|0.0|82.0666666666633|ACT_3
shoulder_lift_joint|-0.49304646253585815|45.65549850463867|49.89951705932617|82.0666666666633|ACT_3
elbow_joint|0.6716432571411133|45.264163970947266|49.8823356628418|82.0666666666633|ACT_3
wrist_1_joint|-1.5707964897155762|64.51433563232422|25.910932540893555|82.0666666666633|ACT_3
